#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2016-10-22 18:43::04.705

Frequency (Hz),Channel 2 (dB),Channel 2 (deg)
7637.2745490981961,-5.4050165146465883,-4.000669680851729
7683.3667334669335,-4.4475270321391749,-59.435692610990273
7729.4589178356709,-3.6162339215701622,-114.86392118867013
7775.5511022044084,-2.904425791858074,-170.28816776538892
7821.6432865731467,-2.2998052576852288,134.28342563521261
7867.7354709418842,-1.7985590003547225,78.850451488881134
7913.8276553106216,-1.389616365411966,23.418049271648478
7959.919839679359,-1.0681065903499196,-32.027833409586229
8006.0120240480965,-0.82314497943866927,-87.453069015913456
8052.1042084168339,-0.65238968858443303,-142.87144887528675
8098.1963927855713,-0.54390953399831332,161.70351081466012
8144.2885771543088,-0.48899539568711653,106.26866741310306
8190.3807615230462,-0.4781757058198367,50.833897641125716
8236.4729458917827,-0.50178080303646355,-4.5985101394696315
8282.5651302605202,-0.54978328861774106,-60.036257801500469
8328.6573146292594,-0.61392876132768326,-115.46795741554547
8374.7494989979969,-0.68210979090397361,-170.88826420843998
8420.8416833667343,-0.74752125571207317,133.68381670324808
8466.9338677354717,-0.80063165067466435,78.253257861262014
8513.0260521042092,-0.83750669301194269,22.812386302466678
8559.1182364729466,-0.85494430365403351,-32.620568446960988
8605.210420841684,-0.85144621579391888,-88.049442985818061
8651.3026052104215,-0.8283372301963009,-143.47287040580235
8697.3947895791589,-0.78962599333534411,161.08813968701318
8743.4869739478963,-0.73797801507045879,105.66815129772776
8789.5791583166338,-0.68107740138149464,50.228779685897948
8835.6713426853712,-0.62263201529963963,-5.2088677602177604
8881.7635270541086,-0.56995942960893242,-60.63782492687406
8927.8557114228461,-0.52665972872954903,-116.07150756096708
8973.9478957915835,-0.49551758427775322,-171.50908128676301
9020.0400801603209,-0.48271035784846961,133.08353074728618
9066.1322645290584,-0.48509723942581739,77.644063934516041
9112.2244488977958,-0.50340091542352394,22.20712044970162
9158.3166332665332,-0.53683385707320164,-33.225611461454079
9204.4088176352707,-0.5808510102163259,-88.654875960010102
9250.5010020040081,-0.63437825134120795,-144.08436973693011
9296.5931863727455,-0.690362143058462,160.48033970287707
9342.685370741483,-0.74482708912820828,105.05645233416855
9388.7775551102204,-0.79005805496463044,49.620817784281094
9434.8697394789579,-0.82625418679191664,-5.8105200441262923
9480.9619238476953,-0.84874264289991186,-61.246937306323147
9527.0541082164327,-0.85244696309510559,-116.67359604658721
9573.1462925851702,-0.84222621231260675,-172.11920278475043
9619.2384769539076,-0.81512798755229932,132.45822650545313
9665.330661322645,-0.77436504274136986,77.024310953056656
9711.4228456913825,-0.72423925615364793,21.592149052318163
9757.5150300601199,-0.66994578516226322,-33.841080032900493
9803.6072144288573,-0.61334258005381104,-89.271871249059018
9849.6993987975948,-0.56379236367611041,-144.70017917162244
9895.7915831663322,-0.52119712045382993,159.87015548762923
9941.8837675350696,-0.49276302020634388,104.43287653957771
9987.9759519038071,-0.4774272480144916,49.004764119894091
10034.068136272545,-0.4771472223277371,-6.4394481764616387
10080.160320641282,-0.49039536931062128,-61.877254437212486
10126.252505010019,-0.52211530784453408,-117.30179713070773
10172.344689378757,-0.56506490653671304,-172.73716396416572
10218.436873747494,-0.61399292275068573,131.84596819069168
10264.529058116232,-0.66903821246520079,76.398892246445314
10310.621242484969,-0.72331596225691286,20.975232635038935
10356.713426853707,-0.77306048708396846,-34.472813782698239
10402.805611222444,-0.8137256601477435,-89.903595341349998
10448.897795591183,-0.84066691795471837,-145.33521902869427
10494.989979959921,-0.85461520283252468,159.23377481869281
10541.082164328658,-0.84915815600214439,103.81595053118603
10587.174348697396,-0.82995668437650461,48.37646181456951
10633.266533066133,-0.79330186944455727,-7.0601812461298152
10679.35871743487,-0.75024721928547078,-62.499865023017719
10725.450901803608,-0.69733458347616917,-117.9273562446712
10771.543086172345,-0.64376134062409018,-173.35673376550108
10817.635270541083,-0.59136811917516852,131.20948993800931
10863.72745490982,-0.54771103881704764,75.766980117140349
10909.819639278558,-0.51194801396678202,20.331497178645307
10955.911823647295,-0.49039170603545457,-35.103517820084306
11002.004008016032,-0.48259320750109769,-90.537322269297718
11048.09619238477,-0.49345643247237125,-145.95493558737343
11094.188376753507,-0.51636252587987341,158.60930073172142
11140.280561122245,-0.55463935432944744,103.18521960809998
11186.372745490982,-0.5997432452887681,47.728945078643797
11232.46492985972,-0.65289107131459367,-7.7039026096297363
11278.557114228457,-0.70736105784989745,-63.132106418574423
11324.649298597195,-0.7596945826810898,-118.57051943184699
11370.741482965932,-0.80544176837056192,-174.00293289610846
11416.833667334669,-0.84033446377267274,130.57215843137149
11462.925851703407,-0.86016324761029839,75.134328904615771
11509.018036072144,-0.86394609645016629,19.700355984881156
11555.110220440882,-0.85084626830699228,-35.742246226534888
11601.202404809619,-0.82333922243143365,-91.165191161634851
11647.294589178357,-0.78407498685376031,-146.60303868633434
11693.386773547094,-0.73519698010550716,157.96503226957159
11739.478957915831,-0.68079099056130044,102.53189182918246
11785.571142284569,-0.62639595879095145,47.088523395522529
11831.663326653306,-0.57644907048231309,-8.3388360285754857
11877.755511022044,-0.53526350392802458,-63.785633850487088
11923.847695390781,-0.50481770975369733,-119.2056557147781
11969.939879759519,-0.48936214421933749,-174.6469284277145
12016.032064128256,-0.49064847757218999,129.91603729580495
12062.124248496993,-0.50711414930370113,74.478613860792152
12108.216432865731,-0.5380298823295937,19.037896257382627
12154.308617234468,-0.57977094625487469,-36.385605303591149
12200.400801603206,-0.63222846505787622,-91.827574487066457
12246.492985971943,-0.68501449032971184,-147.27185824513717
12292.585170340681,-0.74040844461193078,157.31571021005908
12338.677354709418,-0.78822979392908843,101.87896636626766
12384.769539078156,-0.82728372810646145,46.441532869959183
12430.861723446893,-0.852411710223275,-9.0052064072378961
12476.95390781563,-0.86357435757429934,-64.440026747284719
12523.04609218437,-0.85716351145328873,-119.8698020878214
12569.138276553107,-0.83648797498793093,-175.30701181445804
12615.230460921844,-0.79905069334021062,129.25748380968656
12661.322645290582,-0.75224964496306501,73.820083535871518
12707.414829659319,-0.69900032741385421,18.381088351897347
12753.507014028057,-0.64100797606830273,-37.054214227944527
12799.599198396794,-0.58723634066928043,-92.497212000860813
12845.691382765532,-0.54329672573784893,-147.91728342571417
12891.783567134269,-0.51140457463708988,156.64115120336214
12937.875751503007,-0.49376334816214157,101.20778340685771
12983.967935871744,-0.49138301678754287,45.775820716367946
13030.060120240481,-0.50651559290201653,-9.680841857133732
13076.152304609219,-0.53789085058787467,-65.111205306080635
13122.244488977956,-0.5831412947424246,-120.53538568838628
13168.336673346694,-0.63829766543909572,-175.9800844544236
13214.428857715431,-0.6964671177112125,128.58773024331447
13260.521042084169,-0.75306330832179758,73.154395263926631
13306.613226452906,-0.80479296094253883,17.717231505972208
13352.705410821643,-0.84266687079024793,-37.725772727697183
13398.797595190381,-0.86375584862875177,-93.170088830357429
13444.889779559118,-0.86627320740249203,-148.58932917772296
13490.981963927856,-0.84930270254261619,155.95936548807026
